genus	D1T0	D1T1A	D1T1B	D1T1C	D1T2A	D1T2B	D1T2C	D1T3A	D1T3B	D1T3C	D1T4A	D1T4B	D1T4C	D1T5A	D1T5B	D1T5C	D1T6A	D1T6B	D1T6C	D2T0	D2T1A	D2T1B	D2T1C	D2T2A	D2T2B	D2T2C	D2T3A	D2T3B	D2T3C	D2T4A	D2T4B	D2T4C	D2T5A	D2T5B	D2T5C	D2T6A	D2T6B	D2T6C	D3T0	D3T1A	D3T1B	D3T1C	D3T2A	D3T2B	D3T2C	D3T3A	D3T3B	D3T3C	D3T4A	D3T4B	D3T4C	D3T5A	D3T5B	D3T5C	D3T6A	D3T6B	D3T6C	D4T0	D4T1A	D4T1B	D4T1C	D4T2A	D4T2B	D4T2C	D4T3A	D4T3B	D4T3C	D4T4A	D4T4B	D4T4C	D4T5A	D4T5B	D4T5C	D4T6A	D4T6B	D4T6C
g__Bogoriella	8	27	3	14	7	0	15	5	57	30	0	0	4	6	0	11	7	88	119	1	0	1	2	0	0	6	0	0	12	2	1	0	1	1	0	16	23	71	37	21	10	9	23	54	15	41	2	26	7	24	47	0	10	30	38	137	142	0	15	18	10	0	7	54	1	14	3	1	46	23	1	3	29	2	130	82
g__Corynebacterium	656	778	956	1030	272	852	441	282	501	1012	112	423	424	35	400	433	21	590	134	299	631	281	332	396	356	454	437	401	304	271	229	426	415	432	411	152	355	140	247	390	525	166	259	137	102	224	385	279	31	115	68	66	368	218	4	66	20	647	441	623	3200	176	259	1207	80	489	5698	46	506	1970	38	565	3472	56	208	227
g__Egicoccus	6	12	0	30	17	29	3	12	0	13	1	0	29	3	83	17	27	68	123	0	0	2	5	0	0	2	6	0	2	4	1	1	4	1	2	11	42	60	3	26	0	5	5	0	7	0	1	2	5	0	34	6	2	35	69	125	106	51	5	0	0	15	39	31	1	25	17	1	28	21	1	1	14	4	127	119
g__unclassified_f__Salisediminibacteriaceae	300	98	206	387	217	436	649	134	308	353	47	372	335	47	193	309	546	2266	2373	23	86	20	71	18	31	48	31	65	318	44	34	90	36	22	67	325	768	1791	462	341	79	312	194	490	328	335	242	217	112	592	444	74	292	524	1288	2579	2138	477	298	395	539	88	377	315	111	542	250	26	519	490	12	435	239	98	2516	2175
g__Finegoldia	20	58	74	448	50	188	20	8	30	163	10	76	14	0	33	142	0	38	17	2165	2397	2431	2940	2928	2412	2333	2755	2510	1604	2560	3079	2455	2322	2760	2674	894	2212	817	1024	1009	6001	341	1217	1573	386	827	1466	1044	186	290	206	657	1640	280	6	329	13	118	62	101	755	14	368	94	65	127	706	38	449	999	7	207	120	42	21	24
g__Peptoniphilus	12	0	0	17	0	0	0	0	0	5	0	0	0	0	0	0	0	14	0	3387	3562	3735	4508	4435	3487	3761	3952	3984	2706	3992	4764	2953	3572	3749	2980	1538	3911	643	256	515	2959	74	564	547	165	305	739	520	38	132	36	269	802	84	17	165	38	22	49	142	194	0	326	41	24	140	222	8	294	595	3	108	43	10	5	24
g__Hoylesella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7946	8985	12695	4728	6089	13272	8661	5735	7868	3394	3325	9175	3800	3420	10104	3883	1071	5429	927	935	538	2227	74	215	403	278	286	2351	371	41	112	40	87	469	7	4	18	19	0	0	0	50	0	0	7	4	8	0	0	82	0	0	0	1	0	0	0
g__Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	981	1535	2425	1282	1327	2693	1184	1360	1415	673	636	1342	578	471	1200	544	154	584	114	525	610	1376	44	216	189	215	315	1523	304	76	112	280	87	222	7	0	21	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__norank_f__Saprospiraceae	0	14	0	0	0	0	207	0	0	0	23	0	0	176	0	0	430	10	0	0	0	0	0	0	0	0	0	0	0	9	0	0	50	1	0	63	11	0	40	0	0	0	0	0	0	0	0	0	14	0	0	151	42	0	273	14	0	0	0	8	0	0	0	0	0	0	0	26	0	35	291	31	22	154	64	0
g__Hassallia	0	10	0	0	18	0	0	9	0	0	77	0	0	253	13	0	488	60	0	0	0	0	0	0	0	0	0	0	0	22	1	0	51	5	0	66	16	0	0	5	0	0	8	0	0	18	0	0	39	58	0	109	43	0	333	25	0	0	9	0	0	9	0	3	16	0	0	43	0	0	415	13	1	158	20	0
g__unclassified_f__Microscillaceae	0	25	0	0	0	0	0	21	0	0	37	31	0	223	17	0	278	77	0	0	0	0	0	1	0	0	3	0	0	4	0	0	43	0	0	72	18	0	0	0	0	0	23	0	0	0	0	0	22	0	0	107	12	0	204	3	0	0	26	0	0	8	0	0	26	0	0	36	0	0	213	0	6	115	19	0
g__norank_f__env.OPS_17	0	0	0	0	36	0	0	26	0	0	903	46	0	567	70	0	361	22	0	0	0	0	0	2	0	0	2	0	0	57	2	0	97	29	4	52	14	0	0	0	2	0	13	0	0	20	0	0	599	30	0	348	38	0	240	9	0	0	72	0	0	36	0	0	30	0	0	592	46	0	432	95	3	149	15	0
g__norank_o__Kapabacteriales	0	0	0	0	9	0	0	7	0	0	31	0	0	215	6	0	257	8	0	0	0	0	0	0	0	0	1	0	0	6	0	0	19	0	0	43	0	0	0	0	0	0	0	41	0	0	0	0	10	0	0	99	11	0	180	7	0	0	25	0	0	20	0	0	26	0	0	24	0	0	274	0	0	93	0	0
g__Neochlamydia	0	64	12	0	34	30	0	55	0	0	874	101	0	2686	306	0	1991	156	0	0	4	0	0	2	2	0	2	5	0	97	3	0	691	41	0	297	43	0	0	45	0	0	9	0	0	2	0	0	969	111	0	1443	244	0	2091	53	0	0	166	0	0	104	0	0	66	0	0	1314	59	0	1815	286	0	1558	120	0
g__norank_f__Vermiphilaceae	0	86	0	0	233	0	0	48	12	0	111	30	0	346	5	0	395	4	0	0	18	0	0	6	1	0	1	0	0	34	3	0	26	6	0	28	0	0	0	40	0	0	21	0	0	51	0	0	78	14	0	97	0	0	267	1	0	0	194	23	0	319	0	0	107	0	0	153	0	0	289	55	0	221	0	0
g__Phenylobacterium	0	0	0	0	7	0	0	5	0	0	85	0	0	138	0	0	113	3	0	0	0	0	0	1	0	0	1	0	0	8	1	0	20	2	0	8	3	0	0	0	0	0	0	0	0	0	0	0	29	0	0	130	9	0	46	1	0	10	0	0	0	24	0	56	29	0	0	78	0	0	211	0	0	77	6	0
g__Hyphomicrobium	0	37	0	0	16	27	26	2	0	0	58	0	0	92	0	0	1074	8	0	0	0	0	0	0	0	0	1	0	14	9	2	0	7	2	0	114	10	0	0	0	0	0	13	25	0	17	0	0	11	0	0	23	0	0	1007	33	0	5	24	0	0	27	0	0	42	0	0	24	0	0	61	2	0	607	61	0
g__norank_f__Paracaedibacteraceae	0	7	0	0	46	0	0	18	0	0	82	0	0	637	35	0	729	98	0	0	6	0	0	1	0	0	0	0	0	18	4	0	126	24	0	100	16	0	0	0	0	0	14	0	0	0	0	0	46	0	0	585	5	0	450	17	0	0	8	0	0	22	0	0	18	0	0	110	0	0	717	33	0	234	54	0
