metab_id,Metabolite,D1T0,D2T0,D3T0,D4T0,D1T1A,D1T2A,D1T3A,D1T4A,D1T5A,D1T1C,D1T2C,D1T3C,D1T4C,D1T5C,D1T1B,D1T2B,D1T3B,D1T4B,D1T5B,D2T1A,D2T2A,D2T3A,D2T4A,D2T5A,D2T1C,D2T2C,D2T3C,D2T4C,D2T5C,D2T1B,D2T2B,D2T3B,D2T4B,D2T5B,D3T1A,D3T2A,D3T3A,D3T4A,D3T5A,D3T1C,D3T2C,D3T3C,D3T4C,D3T5C,D3T1B,D3T2B,D3T3B,D3T4B,D3T5B,D4T1A,D4T2A,D4T3A,D4T4A,D4T5A,D4T1C,D4T2C,D4T3C,D4T4C,D4T5C,D4T1B,D4T2B,D4T3B,D4T4B,D4T5B,D1T6A,D1T6C,D1T6B,D2T6A,D2T6C,D2T6B,D3T6A,D3T6C,D3T6B,D4T6A,D4T6C,D4T6B
metab_454,Creatinine,5.560820706,5.547183175,5.604480767,5.5583015,5.561770771,5.584375448,5.591735233,5.699725094,5.862718696,5.512956196,5.555232139,5.590347866,5.692726791,5.777536925,5.638490393,5.649549729,5.638266111,5.704811248,5.682613987,5.607019065,5.623219983,5.675400618,5.890304987,6.025984122,5.581942922,5.609528359,5.658937143,5.765623293,5.954548375,5.663713461,5.607916129,5.698363156,5.676461809,5.722005828,5.714544329,5.699923868,5.70589958,5.840553776,5.925531975,5.632802652,5.686555738,5.730548448,5.811048607,5.990425126,5.718911741,5.703504426,5.727688302,5.755144526,5.804727534,5.690445297,5.70141702,5.738011661,5.853070037,5.959265436,5.642556431,5.625367067,5.732190972,5.910787138,6.043268185,5.69716108,5.698670148,5.674332593,5.755365311,5.873928214,5.971678541,6.050518203,5.776871532,6.190372744,6.229025941,5.819304684,6.202668711,6.127917427,5.866773423,6.099048549,6.237597885,5.85159033
metab_801,Ile-Gln,3.560923714,3.368989857,3.226729792,3.219119226,5.823675749,5.880677739,5.896556995,6.172054967,6.144409831,6.058363098,5.962716911,6.016867716,6.242911074,6.09476161,5.542635013,5.556961202,5.585660614,5.524859505,5.419009318,5.700113186,5.976469806,5.939950736,6.128661439,5.96021489,5.546630413,6.031363245,6.09493355,6.371059054,5.946499596,5.449710226,5.201344447,5.378939347,5.186792058,5.154669781,5.671955986,5.75768925,5.576953229,6.038069045,5.65354791,5.887611215,6.049405658,5.811755381,6.142149049,5.804379811,5.335295266,5.597668755,5.547276477,5.464372787,5.413533581,5.453739052,5.678286378,5.609695835,5.982417037,6.179101435,5.980852218,5.956356904,6.106249641,5.920233355,5.995000768,5.376444209,5.384414616,5.357165361,5.347952562,4.771705199,5.901846003,5.836740452,5.30982393,5.761971393,5.68156859,5.057459939,5.564834146,5.66150415,5.33098429,5.910998419,5.764781646,5.273506641
metab_1348,2-[carboxymethyl(methyl)amino]-5-methoxybenzoic acid,2.170596918,2.19604613,2.164205394,2.156642904,2.234522754,2.205912322,2.937906156,4.583040196,4.932786941,2.193494927,2.200165838,2.201590128,3.402530635,3.995493501,2.199391361,2.793742576,2.197074842,2.22803844,3.969138179,2.255577047,2.204619898,2.210930713,4.599559381,4.777209273,2.194147332,2.200193245,2.188153294,2.972391836,4.29642953,2.222001285,2.192466947,2.910607741,3.250857574,4.145819523,2.943823766,2.239818923,3.084207127,4.714737549,4.574089451,2.217826343,2.206923532,2.245209912,4.040502352,4.34142397,2.174943638,2.206208617,2.199129379,3.755171242,4.167380124,2.223455466,2.217145556,3.362416094,4.496819666,4.796278363,2.187612389,2.200489757,2.990923062,3.034641112,4.0592853,2.241203598,2.834306731,2.213486378,3.837320521,4.34007883,5.12101654,4.462518153,4.412244574,5.08561411,4.785356861,4.588646589,5.204277822,4.55210482,4.501119444,5.126563179,4.375518805,4.589437276
metab_1564,Peramine,0.766748425,0.788088277,0.761420999,0.755134507,0.820725252,2.620387738,0.788861232,3.765143885,4.310697972,0.785939966,0.791561585,2.633579536,0.720409288,4.038471943,0.790908233,0.803791231,0.788955095,2.812100792,3.965423002,0.838765883,0.795322581,3.257667995,4.23867828,4.447910123,0.786489152,0.791584709,3.63014025,3.961194611,4.073601088,0.810056192,0.785074891,2.321464613,3.00727334,3.948117524,2.235828485,0.825251521,2.233495334,4.194937605,3.886195816,0.806509059,0.797270112,2.24367322,3.097765954,4.471417302,0.770378907,0.796665539,0.790687264,2.407269369,3.472215023,0.811292902,0.805931133,0.78695924,3.89624446,4.266872738,0.780994038,0.791834899,0.779380331,4.130448482,4.375443626,0.826436227,0.794227014,0.802827172,0.803881506,0.790914531,4.543227464,4.306568963,4.195953095,4.877937006,4.833597425,4.199480771,4.80465197,4.748692837,4.073519186,4.484218758,4.762750445,4.092716304
metab_1574,N-fructosyl isoleucine,3.475865007,3.977026372,3.771912466,3.404875821,6.084266495,6.305487356,6.538125767,6.958249049,7.129807206,5.789922958,6.17306133,6.47305377,6.757859751,7.037803955,5.663421504,6.032259644,6.364467723,6.828382152,6.997894335,6.0114722,6.609633554,6.756606296,7.242323308,7.219272448,5.589124568,6.515795096,6.801465853,7.033659569,7.080523798,5.86712843,5.948140813,6.442792627,6.674637457,6.91897505,6.168311012,6.431761675,6.238389696,7.048671542,6.897892153,5.737148215,6.366156064,6.303919515,6.738370243,7.296447764,5.411607369,6.011292106,6.185965425,6.634463538,6.876302251,5.98872233,6.250735598,6.5457496,6.883384656,7.140921853,5.833479677,6.317129117,6.554119725,6.901898095,7.230026024,5.506010202,5.790693658,6.187945587,6.620166795,6.554065044,7.27251616,7.261341199,7.162785592,7.550661973,7.613355675,7.078936066,7.565961306,7.454532268,6.996153942,7.282119055,7.455856034,6.960383073
metab_12529,Pro-Leu,4.468560464,4.486185957,4.524785073,4.541957128,4.494628485,4.562110224,4.597398727,4.699969424,4.850319298,4.886259736,4.913911593,4.995676225,5.170569074,5.293090286,5.001277699,4.947182652,4.872074838,4.853034243,4.829467721,4.922605088,4.975048965,5.005113453,5.0990899,5.138138909,5.036076829,5.090764881,5.168582825,5.256115828,5.279343242,5.079689313,5.045672596,4.992678296,5.001843367,4.981257392,4.993266936,4.995788897,5.002201652,5.012959686,5.018631044,4.997749368,5.130863536,5.150025345,5.160957104,5.319035573,5.104894718,5.033739541,5.027439904,5.040171479,4.985174211,4.960781696,4.940888164,4.915610473,4.954250359,5.0910591,5.140792939,5.168305399,5.156447034,5.314407474,5.338216205,5.142645262,5.118033491,5.095945497,5.082429421,5.04140225,5.158133773,5.363776868,5.17015985,5.289794229,5.387307528,5.252495164,5.309863645,5.395985618,5.295635326,5.360583872,5.36979502,5.241325466
metab_12572,"3-Chloro-4,4-dimethyl-2-oxazolidinone",4.88680401,4.950417704,4.941999527,4.885039684,5.089778428,5.086003618,5.152813167,5.161344156,5.161165867,4.929528275,4.898457567,4.957315442,4.958618116,5.031510072,4.981720103,4.958929913,4.97949497,5.050746295,5.05252044,5.175534357,5.087293746,5.205674196,5.226699879,5.291126149,5.108376585,4.947790111,4.963215701,5.014199301,5.167118829,5.03283366,5.069209209,5.037748782,5.151214825,5.136447575,5.091305748,5.125442719,5.248949377,5.17965642,5.313461187,5.005675677,4.978268574,5.142981438,5.075936071,5.104020438,5.083858548,5.039644034,5.057137344,5.196898169,5.238588714,5.146428275,5.132691197,5.183619946,5.242478944,5.254627387,5.006199569,4.959607482,5.013430022,5.119339028,5.105641259,5.114539717,5.054525849,5.086428567,5.115806111,5.16812471,5.242367478,5.209099556,5.180454641,5.275914729,5.308040903,5.283532379,5.265750239,5.282784486,5.267027821,5.302265579,5.24000755,5.143958874
metab_13043,GPSer(22:5/18:2),4.926943202,5.685700864,4.527888901,4.915557007,3.787958972,5.468900321,5.389457799,5.399141489,5.363165452,5.183204303,5.022359044,5.421028432,5.451798047,5.414140215,3.746854595,5.4572139,5.550219382,5.373278542,5.368403001,4.513523827,5.446329799,5.609263675,5.629496303,5.622364318,5.822951161,5.407398617,4.981920937,5.655135314,5.790275307,4.088789285,5.236647725,5.645297804,5.506666004,5.689482902,4.236340554,5.219566568,5.550755458,5.536142725,5.415606931,5.378858043,4.455065788,5.575117407,5.600554201,5.336061571,4.756839055,5.20109481,5.382723977,5.379487563,5.274070036,4.542280854,5.588003007,5.543581634,5.660221885,5.508573754,5.392219379,5.276984188,5.592915644,5.539128218,5.512213842,4.040661194,5.533440016,5.513993796,5.443754614,5.647119094,3.696920467,3.675157174,4.759488019,5.222475207,5.00690517,5.590890481,4.716385477,5.542527031,5.157598793,5.085373119,5.165598711,5.117107309
metab_23543,"4-(3,4-dimethylphenyl)-1-thia-4-azaspiro[4.5]decan-3-one",4.972157616,4.932711247,4.903654546,4.708759559,5.678170555,5.90764738,6.135137974,6.613468252,6.818928289,5.418257778,5.786365457,6.064002978,6.380849114,6.698813014,5.35994824,5.649332703,5.951876413,6.442818169,6.646968035,5.528391233,6.176344161,6.308840408,6.876569943,6.890292692,5.045176732,6.073270909,6.365132128,6.651972747,6.729708478,5.435911539,5.469354911,5.986994548,6.243443182,6.512435435,5.786883097,6.047584322,5.843720574,6.705868046,6.57908634,5.314627204,5.976491313,5.875198851,6.379799873,6.966850096,5.21253749,5.668694426,5.820770774,6.244546588,6.505746522,5.596128602,5.839614099,6.149006383,6.538074063,6.821235599,5.472944148,5.903361916,6.165597551,6.557304202,6.914209393,5.146761754,5.33891733,5.788015813,6.226161575,6.151751614,6.987184016,6.955710038,6.840238894,7.27282811,7.319881876,6.70967842,7.281829665,7.150427653,6.647546296,6.983703313,7.168351508,6.619893347
metab_24329,(-)-Neplanocin A,2.193227573,2.218685316,2.186833827,2.179268665,2.257173925,2.228554684,2.219602952,4.520569371,4.909118651,2.216133281,3.369538489,2.224231108,3.764612146,4.684096784,3.452580998,2.237268488,4.072684761,4.507863057,4.762229728,2.27823434,3.737947167,4.090838911,4.900077008,5.07272497,2.216785898,2.222833775,3.998926273,4.206681587,4.917142861,2.244648672,2.215104963,4.124742864,4.595380375,4.885816577,2.252959889,2.262471662,3.290554538,4.677093242,4.854016585,2.240472443,2.229566214,2.267864228,4.069661343,4.99453537,2.197575786,3.402280891,3.747480579,4.451761844,4.861254597,2.246103298,2.239791446,3.378450676,4.467380656,4.860350631,2.210248804,2.223130382,3.489855676,4.347006793,4.863482053,2.263856743,2.225964712,2.236131128,4.245605816,4.209036131,5.071653775,5.071496264,5.076397296,5.369293354,5.405374785,5.011237263,5.35582702,5.339840014,5.164894379,5.07277079,5.152666297,4.820743428
metab_24628,Glu-Gln,4.128034789,4.555527593,4.947956979,4.725271427,5.474943655,4.851342041,4.449109246,4.70481353,4.975914978,5.792815624,5.596189999,5.356320306,4.459955818,4.767344695,5.020018072,5.098219445,5.133496492,5.180516942,5.151511172,5.958663237,5.569780247,5.210121869,4.931448693,5.026450331,5.64449696,5.887765083,5.589175712,4.76635823,5.025771043,5.443201623,5.605288788,5.460642647,5.540612548,5.607474361,5.616496567,5.213045626,4.503337291,4.517463756,4.897689342,5.852285532,5.815720502,5.262164303,4.933320215,4.896996457,5.360350288,5.372815401,5.363691651,5.435240515,5.411244116,5.354315383,4.588206167,4.477345598,4.876199587,5.141524212,5.796794475,5.728926576,5.467836898,4.962880916,4.633016733,5.427040706,5.187501376,5.533959974,5.311015694,4.790681073,5.318394115,5.151309852,5.077786088,5.292724586,5.128113403,5.544353944,5.145180121,5.200205726,5.481521195,5.447795039,4.991142451,5.425680555
metab_26866,Acetylhomoserine,4.598828196,4.777083727,4.732227368,4.75291035,4.786668154,4.863242557,4.945439103,5.102306023,5.202035398,4.741569356,4.86849106,4.900054154,5.026829027,5.187082512,4.641826418,4.700794382,4.808976237,5.012199827,5.11717535,4.855903052,5.10165748,5.192779754,5.439734751,5.474357434,4.809896751,5.075016725,5.198078774,5.309825999,5.395343057,4.857012218,4.856823284,5.041317583,5.187816892,5.349116792,4.930587742,5.011905874,4.960711794,5.288676492,5.273079932,4.796231044,4.993406498,4.987616939,5.13155018,5.457362244,4.749420527,4.83946653,4.946549495,5.168668766,5.325381644,4.938984231,5.053996651,5.181054673,5.343401711,5.377797958,4.894820204,4.981447909,5.12354255,5.288069116,5.472940674,4.809356938,4.889981759,5.042183122,5.301602146,5.383423023,5.282893753,5.473107674,5.239893893,5.601807749,5.704707067,5.518636344,5.473878818,5.583053098,5.486377674,5.46400096,5.616229747,5.602681997
metab_29132,1-(2-furylmethyl)-5-oxopyrrolidine-3-carboxylic acid,3.835078529,3.952631333,3.92799862,3.868730152,3.964435495,4.24714784,4.363199646,4.751114532,5.001756196,4.282102397,4.872440862,5.009414462,5.177543819,5.249447755,4.221352054,4.418838181,4.635738342,5.016490213,5.230047033,3.885383149,4.166860415,4.321162568,4.705894599,4.775432051,4.08006488,4.67724404,4.89751364,4.906476251,4.966193429,4.131691307,4.182600003,4.461986657,4.79431126,5.097796315,4.028213405,4.263719963,4.33468197,4.8948106,4.771076697,4.29820792,4.903300664,4.848835667,5.095216003,5.290035864,3.978572684,4.315263047,4.358483432,4.879421427,5.199445455,4.015578075,4.178005975,4.283043019,4.669613896,4.991096898,4.164905284,4.64218958,4.826580175,4.828880609,4.970797267,3.878140981,4.132243832,4.213956417,4.65535163,4.769197348,5.289003735,5.452139352,5.507293569,5.011343855,5.202017688,5.392983832,5.184849452,5.324403442,5.471318617,5.368361458,5.085027507,5.314354016
metab_30760,Urotensin-related peptide,3.010484651,3.360739191,3.024795989,3.429007985,3.532099094,4.420894685,4.993953054,5.198006999,4.874700167,4.392964098,4.769206121,5.064434161,4.606111646,4.615925172,3.05961933,3.093050256,3.018456989,3.334328168,3.14652631,3.049264524,4.690739616,5.048225897,5.483020258,5.071368194,3.531301014,4.726532632,5.192806969,4.464851206,4.087618065,3.026055251,3.026470975,3.022068378,3.030618978,3.040361571,3.754114652,4.78458502,4.671404633,5.478388515,4.979582626,4.25345299,4.659624444,4.845854293,4.393424199,4.923860385,3.299129035,3.006482305,3.0149596,3.05666515,3.061485644,4.221449833,4.961336493,5.186841066,5.571597612,5.512763569,4.828591482,4.790424262,5.373601029,4.882519233,4.601160947,3.52579671,3.695286022,3.120479162,3.276720849,3.020159917,4.067713677,3.92112932,3.049131164,4.600717012,4.400230946,3.043155949,4.476821992,3.718862281,3.064485116,4.681429631,4.298290885,4.005134139
metab_30812,Pectenotoxin 7,2.178614246,2.216441242,2.192845931,2.155853821,2.221281201,3.199789883,3.397173702,5.384383656,5.79392852,3.087697711,2.21588794,4.272934285,5.95656131,5.902178273,3.42126253,2.935359432,3.098104748,2.752639897,3.173787393,2.669407922,2.20447432,3.310325729,4.658289359,4.782730855,4.212135201,3.274722029,2.203177582,5.3504907,4.885118522,3.572660029,3.73633724,2.609529977,3.652552116,3.874065902,2.397090973,2.212077104,3.909708945,5.241190979,4.714266284,2.210095161,2.20642018,2.927269883,5.261371684,5.466029719,3.819621829,2.16500263,3.957957174,3.10383471,4.296153556,3.791701698,2.915431763,4.268844832,4.551485029,5.531867155,2.178628943,2.971933336,3.843343361,5.657044086,5.683920426,4.047231603,3.686584726,2.178316374,2.818978217,5.07324378,5.662481543,4.925562086,3.131213057,5.170500818,4.88343908,4.292637799,5.197885295,4.600613638,3.352178131,5.342211892,5.332051017,4.087769136
