SampleID	TsD	Donor	Env	Temperature	Humidity
D1T0	0	D1	EnvB	24	47
D1T1A	0.5	D1	EnvA	30	75
D1T1B	0.5	D1	EnvB	24	47
D1T1C	0.5	D1	EnvC	28	70
D1T2A	1	D1	EnvA	30	75
D1T2B	1	D1	EnvB	24	46
D1T2C	1	D1	EnvC	28	67
D1T3A	2	D1	EnvA	30	75
D1T3B	2	D1	EnvB	24	46
D1T3C	2	D1	EnvC	28	70
D1T4A	7	D1	EnvA	30	75
D1T4B	7	D1	EnvB	24	45
D1T4C	7	D1	EnvC	28	78
D1T5A	14	D1	EnvA	30	75
D1T5B	14	D1	EnvB	25	43
D1T5C	14	D1	EnvC	28	82
D1T6A	28	D1	EnvA	30	75
D1T6B	28	D1	EnvB	24	42
D1T6C	28	D1	EnvC	26	79
D2T0	0	D2	EnvB	24	47
D2T1A	0.5	D2	EnvA	30	75
D2T1B	0.5	D2	EnvB	24	47
D2T1C	0.5	D2	EnvC	27	71
D2T2A	1	D2	EnvA	30	75
D2T2B	1	D2	EnvB	24	47
D2T2C	1	D2	EnvC	28	66
D2T3A	2	D2	EnvA	30	75
D2T3B	2	D2	EnvB	24	45
D2T3C	2	D2	EnvC	29	69
D2T4A	7	D2	EnvA	30	75
D2T4B	7	D2	EnvB	24	45
D2T4C	7	D2	EnvC	28	78
D2T5A	14	D2	EnvA	30	75
D2T5B	14	D2	EnvB	25	43
D2T5C	14	D2	EnvC	28	83
D2T6A	28	D2	EnvA	30	75
D2T6B	28	D2	EnvB	24	42
D2T6C	28	D2	EnvC	26	79
D3T0	0	D3	EnvB	24	47
D3T1A	0.5	D3	EnvA	30	75
D3T1B	0.5	D3	EnvB	24	47
D3T1C	0.5	D3	EnvC	27	71
D3T2A	1	D3	EnvA	30	75
D3T2B	1	D3	EnvB	24	46
D3T2C	1	D3	EnvC	29	64
D3T3A	2	D3	EnvA	30	75
D3T3B	2	D3	EnvB	24	45
D3T3C	2	D3	EnvC	28	70
D3T4A	7	D3	EnvA	30	75
D3T4B	7	D3	EnvB	24	45
D3T4C	7	D3	EnvC	28	79
D3T5A	14	D3	EnvA	30	75
D3T5B	14	D3	EnvB	25	43
D3T5C	14	D3	EnvC	28	82
D3T6A	28	D3	EnvA	30	75
D3T6B	28	D3	EnvB	24	42
D3T6C	28	D3	EnvC	26	80
D4T0	0	D4	EnvB	24	47
D4T1A	0.5	D4	EnvA	30	75
D4T1B	0.5	D4	EnvB	24	47
D4T1C	0.5	D4	EnvC	27	71
D4T2A	1	D4	EnvA	30	75
D4T2B	1	D4	EnvB	24	46
D4T2C	1	D4	EnvC	29	64
D4T3A	2	D4	EnvA	30	75
D4T3B	2	D4	EnvB	24	45
D4T3C	2	D4	EnvC	28	71
D4T4A	7	D4	EnvA	30	75
D4T4B	7	D4	EnvB	24	45
D4T4C	7	D4	EnvC	28	79
D4T5A	14	D4	EnvA	30	75
D4T5B	14	D4	EnvB	25	43
D4T5C	14	D4	EnvC	28	82
D4T6A	28	D4	EnvA	30	75
D4T6B	28	D4	EnvB	24	42
D4T6C	28	D4	EnvC	26	79
